source,period,GWh
Coal,2025-04,45839.19058
Coal,2025-03,49134.02239
Coal,2025-02,62262.40528
Coal,2025-01,83149.59178
Coal,2024-12,62888.46959
Coal,2024-11,44994.68815
Coal,2024-10,46957.33506
Coal,2024-09,54628.10634
Coal,2024-08,68837.95979
Coal,2024-07,71686.29409
Coal,2024-06,61392.89261
Coal,2024-05,45912.7158
Coal,2024-04,37322.4042
Coal,2024-03,38389.60988
Coal,2024-02,44058.09197
Coal,2024-01,75690.97615
Coal,2023-12,56364.82369
Coal,2023-11,51209.35616
Coal,2023-10,50932.74264
Coal,2023-09,59958.86512
Coal,2023-08,78111.71337
Coal,2023-07,78903.21656
Coal,2023-06,57771.50047
Coal,2023-05,43803.65904
Coal,2023-04,40232.60466
Coal,2023-03,50095.6027
Coal,2023-02,46374.16021
Coal,2023-01,61357.03269
Coal,2022-12,73380.89229
Coal,2022-11,56376.96293
Coal,2022-10,54228.45722
Coal,2022-09,64998.31931
Coal,2022-08,85214.64958
Coal,2022-07,86414.97062
Coal,2022-06,73463.10379
Coal,2022-05,62531.74438
Coal,2022-04,55329.13354
Coal,2022-03,61018.7735
Coal,2022-02,70966.37798
Coal,2022-01,87588.22693
Coal,2021-12,60024.59585
Coal,2021-11,57426.34728
Coal,2021-10,62572.1427
Coal,2021-09,78876.84017
Coal,2021-08,101854.5988
Coal,2021-07,101536.5367
Coal,2021-06,87264.60172
Coal,2021-05,63872.72048
Coal,2021-04,53956.13351
Coal,2021-03,61903.96388
Coal,2021-02,87470.49993
Coal,2021-01,81239.77891
Coal,2020-12,78587.62866
Coal,2020-11,61182.18639
Coal,2020-10,59804.58904
Coal,2020-09,68406.74534
Coal,2020-08,91145.41119
Coal,2020-07,89709.48262
Coal,2020-06,65283.16993
Coal,2020-05,46526.62632
Coal,2020-04,40675.20198
Coal,2020-03,50730.62847
Coal,2020-02,56201.46779
Coal,2020-01,65139.75937
Coal,2019-12,72580.73606
Coal,2019-11,75549.33857
Coal,2019-10,66777.23093
Coal,2019-09,85706.69196
Coal,2019-08,94039.70636
Coal,2019-07,100770.78542
Coal,2019-06,78539.50426
Coal,2019-05,71884.62525
Coal,2019-04,59922.45969
Coal,2019-03,78351.61989
Coal,2019-02,79929.40881
Coal,2019-01,100904.7043
Coal,2018-12,100318.60014
Coal,2018-11,92818.59372
Coal,2018-10,87263.62736
Coal,2018-09,96543.99239
Coal,2018-08,115129.45572
Coal,2018-07,115376.37644
Coal,2018-06,101503.42674
Coal,2018-05,85227.3
Coal,2018-04,73346.00643
Coal,2018-03,80625.66254
Coal,2018-02,82050.18241
Coal,2018-01,119284.11471
Coal,2017-12,106545.36665
Coal,2017-11,90986.33924
Coal,2017-10,89775.52365
Coal,2017-09,98202.04611
Coal,2017-08,119488.38491
Coal,2017-07,127697.82032
Coal,2017-06,107508.32219
Coal,2017-05,92776.54135
Coal,2017-04,81335.3131
Coal,2017-03,89364.62027
Coal,2017-02,86822.18986
Coal,2017-01,115332.80828
Coal,2016-12,118746.8419
Coal,2016-11,86940.46241
Coal,2016-10,99193.94367
Coal,2016-09,114137.76825
Coal,2016-08,135634.73331
Coal,2016-07,136316.43397
Coal,2016-06,116034.38414
Coal,2016-05,81694.51025
Coal,2016-04,72112.8619
Coal,2016-03,72172.52681
Coal,2016-02,92704.80797
Coal,2016-01,113459.37975
Coal,2015-12,89495.07284
Coal,2015-11,87227.13603
Coal,2015-10,96758.50415
Coal,2015-09,117985.6322
Coal,2015-08,134670.3089
Coal,2015-07,139099.86855
Coal,2015-06,125673.11366
Coal,2015-05,104584.52668
Coal,2015-04,88989.1425
Coal,2015-03,108487.53856
Coal,2015-02,126976.83198
Coal,2015-01,132450.52066
Coal,2014-12,124620.11616
Coal,2014-11,119127.43937
Coal,2014-10,111295.95754
Coal,2014-09,126110.38461
Coal,2014-08,148451.62333
Coal,2014-07,149627.05758
Coal,2014-06,137576.92149
Coal,2014-05,118785.80061
Coal,2014-04,109280.59165
Coal,2014-03,136442.60132
Coal,2014-02,143294.48747
Coal,2014-01,157097.36861
Coal,2013-12,141859.66537
Coal,2013-11,120939.72975
Coal,2013-10,120996.39294
Coal,2013-09,133110.43729
Coal,2013-08,149426.0529
Coal,2013-07,152866.8527
Coal,2013-06,138283.21603
Coal,2013-05,119512.5
Coal,2013-04,111834.68254
Coal,2013-03,130633.56036
Coal,2013-02,123546.80484
Coal,2013-01,138104.82108
Coal,2012-12,134078.90757
Coal,2012-11,128727.0657
Coal,2012-10,120999.33876
Coal,2012-09,125588.60805
Coal,2012-08,152181.05516
Coal,2012-07,160450.26253
Coal,2012-06,131261.03605
Coal,2012-05,115982.64658
Coal,2012-04,96285.44067
Coal,2012-03,105525.54678
Coal,2012-02,113872.04689
Coal,2012-01,129090.98981
Coal,2011-12,132928.71614
Coal,2011-11,121462.71077
Coal,2011-10,126626.97282
Coal,2011-09,140941.1491
Coal,2011-08,171280.53388
Coal,2011-07,176585.81965
Coal,2011-06,158055.21258
Coal,2011-05,137101.56497
Coal,2011-04,124488.2575
Coal,2011-03,134845.23138
Coal,2011-02,138311.15723
Coal,2011-01,170802.67931
Coal,2010-12,167258.08616
Coal,2010-11,135185.04538
Coal,2010-10,132269.83506
Coal,2010-09,148745.67169
Coal,2010-08,177745.32008
Coal,2010-07,179600.4991
Coal,2010-06,165491.48889
Coal,2010-05,143272.49362
Coal,2010-04,126951.88534
Coal,2010-03,144405.63319
Coal,2010-02,153044.15909
Coal,2010-01,173320.16091
Coal,2009-12,166434.03556
Coal,2009-11,136809.57521
Coal,2009-10,139955.57738
Coal,2009-09,137144.64798
Coal,2009-08,163260.48308
Coal,2009-07,158233.86912
Coal,2009-06,148086.77111
Coal,2009-05,131673.05752
Coal,2009-04,125934.97312
Coal,2009-03,135530.3278
Coal,2009-02,140915.78476
Coal,2009-01,171925.15034
Coal,2008-12,167785.73046
Coal,2008-11,154281.19798
Coal,2008-10,151840.71519
Coal,2008-09,161356.34732
Coal,2008-08,180576.49295
Coal,2008-07,186733.45633
Coal,2008-06,171043.27903
Coal,2008-05,154915.90135
Coal,2008-04,146983.02391
Coal,2008-03,160743.24304
Coal,2008-02,166666.35479
Coal,2008-01,182875.5043
Coal,2007-12,173829.86553
Coal,2007-11,159382.45455
Coal,2007-10,162234.35613
Coal,2007-09,169391.27283
Coal,2007-08,190134.81633
Coal,2007-07,185053.78761
Coal,2007-06,173512.88404
Coal,2007-05,157513.28116
Coal,2007-04,146249.54121
Coal,2007-03,159811.07388
Coal,2007-02,163602.81256
Coal,2007-01,175739.4377
Coal,2006-12,173508.95112
Coal,2006-11,159439.51728
Coal,2006-10,161389.65914
Coal,2006-09,161590.35416
Coal,2006-08,189454.92967
Coal,2006-07,187820.87151
Coal,2006-06,169693.4782
Coal,2006-05,157009.75508
Coal,2006-04,141426.23364
Coal,2006-03,161325.11525
Coal,2006-02,158616.18891
Coal,2006-01,169236.08057
Coal,2005-12,177965.17958
Coal,2005-11,158797.52701
Coal,2005-10,162436.79301
Coal,2005-09,171656.21549
Coal,2005-08,187573.75443
Coal,2005-07,186090.75719
Coal,2005-06,174866.99726
Coal,2005-05,153957.96154
Coal,2005-04,143083.23903
Coal,2005-03,163612.7005
Coal,2005-02,155818.01413
Coal,2005-01,177013.90662
Coal,2004-12,176755.20145
Coal,2004-11,157435.99421
Coal,2004-10,157605.0954
Coal,2004-09,164252.92334
Coal,2004-08,178181.34259
Coal,2004-07,181491.82062
Coal,2004-06,167641.90627
Coal,2004-05,157016.37723
Coal,2004-04,141470.95622
Coal,2004-03,154288.41916
Coal,2004-02,161503.09216
Coal,2004-01,180657.42054
Coal,2003-12,176291.473
Coal,2003-11,158223.194
Coal,2003-10,159322.942
Coal,2003-09,164910.002
Coal,2003-08,185331.823
Coal,2003-07,181852.318
Coal,2003-06,162284.63
Coal,2003-05,150262.977
Coal,2003-04,141959.981
Coal,2003-03,155001.775
Coal,2003-02,156982.481
Coal,2003-01,181313.153
Coal,2002-12,172189.765
Coal,2002-11,156053.655
Coal,2002-10,159099.294
Coal,2002-09,165366.309
Coal,2002-08,179955.447
Coal,2002-07,183194.702
Coal,2002-06,164667.695
Coal,2002-05,151406.401
Coal,2002-04,142304.595
Coal,2002-03,151485.651
Coal,2002-02,143048.822
Coal,2002-01,164358.018
Coal,2001-12,157402.35
Coal,2001-11,144116.998
Coal,2001-10,148930.816
Coal,2001-09,154158.317
Coal,2001-08,183116.073
Coal,2001-07,179060.41
Coal,2001-06,162615.804
Coal,2001-05,151592.914
Coal,2001-04,140670.654
Coal,2001-03,155269.011
Coal,2001-02,149735.484
Coal,2001-01,177287.111
Gas,2025-04,115960.37535
Gas,2025-03,118919.93448
Gas,2025-02,132339.57223
Gas,2025-01,156526.71341
Gas,2024-12,145365.01275
Gas,2024-11,137041.41254
Gas,2024-10,146347.74525
Gas,2024-09,169393.44023
Gas,2024-08,203074.90468
Gas,2024-07,207717.35786
Gas,2024-06,169307.07575
Gas,2024-05,143617.82789
Gas,2024-04,121282.09818
Gas,2024-03,130604.32358
Gas,2024-02,130987.10591
Gas,2024-01,160135.50524
Gas,2023-12,149797.85244
Gas,2023-11,135357.71949
Gas,2023-10,140654.67524
Gas,2023-09,166150.87759
Gas,2023-08,198999.93491
Gas,2023-07,199288.8158
Gas,2023-06,161851.00512
Gas,2023-05,137295.67838
Gas,2023-04,119877.76442
Gas,2023-03,133557.7022
Gas,2023-02,124891.94388
Gas,2023-01,138339.10302
Gas,2022-12,140715.95863
Gas,2022-11,127523.43894
Gas,2022-10,133491.52385
Gas,2022-09,156947.86255
Gas,2022-08,188859.66884
Gas,2022-07,189042.19413
Gas,2022-06,155516.99607
Gas,2022-05,127091.02336
Gas,2022-04,105505.84655
Gas,2022-03,112477.26754
Gas,2022-02,114945.42818
Gas,2022-01,134947.53058
Gas,2021-12,127586.43005
Gas,2021-11,122433.25919
Gas,2021-10,131851.68145
Gas,2021-09,138214.4087
Gas,2021-08,172716.00517
Gas,2021-07,170189.36311
Gas,2021-06,149375.55551
Gas,2021-05,114675.79155
Gas,2021-04,107416.26793
Gas,2021-03,107018.71133
Gas,2021-02,111182.91493
Gas,2021-01,126529.59847
Gas,2020-12,127685.13509
Gas,2020-11,109657.92447
Gas,2020-10,131241.61631
Gas,2020-09,141163.7049
Gas,2020-08,173389.75292
Gas,2020-07,181259.73547
Gas,2020-06,142833.3469
Gas,2020-05,116942.93863
Gas,2020-04,110300.65012
Gas,2020-03,125904.68928
Gas,2020-02,127871.17318
Gas,2020-01,135916.20216
Gas,2019-12,131838.91728
Gas,2019-11,117910.46597
Gas,2019-10,130947.61797
Gas,2019-09,149697.03128
Gas,2019-08,174968.28657
Gas,2019-07,171954.56399
Gas,2019-06,137836.13768
Gas,2019-05,117058.87399
Gas,2019-04,104058.59005
Gas,2019-03,115813.10124
Gas,2019-02,112141.91132
Gas,2019-01,121588.67631
Gas,2018-12,109801.97563
Gas,2018-11,108167.63501
Gas,2018-10,123142.23947
Gas,2018-09,141785.5277
Gas,2018-08,161676.24102
Gas,2018-07,164749.06024
Gas,2018-06,130826.39996
Gas,2018-05,115283.9823
Gas,2018-04,98371.08027
Gas,2018-03,106523.77987
Gas,2018-02,98511.85154
Gas,2018-01,110292.90908
Gas,2017-12,111397.79204
Gas,2017-11,94928.34076
Gas,2017-10,106826.27512
Gas,2017-09,118035.85224
Gas,2017-08,141201.1381
Gas,2017-07,146929.43853
Gas,2017-06,117235.70085
Gas,2017-05,98019.31124
Gas,2017-04,88455.10059
Gas,2017-03,95073.66171
Gas,2017-02,82767.65084
Gas,2017-01,95572.22908
Gas,2016-12,96363.59628
Gas,2016-11,93941.8345
Gas,2016-10,102897.98607
Gas,2016-09,125602.73981
Gas,2016-08,154759.67321
Gas,2016-07,151553.87196
Gas,2016-06,131395.22913
Gas,2016-05,110430.1923
Gas,2016-04,98875.9473
Gas,2016-03,103889.93756
Gas,2016-02,98552.17908
Gas,2016-01,110043.74673
Gas,2015-12,109776.67885
Gas,2015-11,102236.25483
Gas,2015-10,110005.03903
Gas,2015-09,123035.92238
Gas,2015-08,139083.7544
Gas,2015-07,141119.08134
Gas,2015-06,121477.74922
Gas,2015-05,101516.3545
Gas,2015-04,92805.99824
Gas,2015-03,99422.71998
Gas,2015-02,91315.16471
Gas,2015-01,101687.39262
Gas,2014-12,91037.8204
Gas,2014-11,84353.51326
Gas,2014-10,97683.01576
Gas,2014-09,106581.58568
Gas,2014-08,122348.42288
Gas,2014-07,115081.26949
Gas,2014-06,98467.60766
Gas,2014-05,89119.67653
Gas,2014-04,76781.87947
Gas,2014-03,78150.91836
Gas,2014-02,75942.31445
Gas,2014-01,91060.93439
Gas,2013-12,92936.2913
Gas,2013-11,84286.78492
Gas,2013-10,88587.40151
Gas,2013-09,102063.23334
Gas,2013-08,121156.39696
Gas,2013-07,120770.9808
Gas,2013-06,99615.06431
Gas,2013-05,83815.59186
Gas,2013-04,78036.43182
Gas,2013-03,84725.25919
Gas,2013-02,80283.07377
Gas,2013-01,88559.05007
Gas,2012-12,83989.0974
Gas,2012-11,80169.46107
Gas,2012-10,91725.37056
Gas,2012-09,108012.30069
Gas,2012-08,131735.86442
Gas,2012-07,138862.84998
Gas,2012-06,115597.50323
Gas,2012-05,107351.81228
Gas,2012-04,94828.59637
Gas,2012-03,92250.65327
Gas,2012-02,90609.78234
Gas,2012-01,90760.88378
Gas,2011-12,86121.62582
Gas,2011-11,75441.29818
Gas,2011-10,78819.20708
Gas,2011-09,91739.07009
Gas,2011-08,119855.79257
Gas,2011-07,119623.59113
Gas,2011-06,90691.11156
Gas,2011-05,75242.79679
Gas,2011-04,70028.99891
Gas,2011-03,65947.12043
Gas,2011-02,65923.98289
Gas,2011-01,74254.33381
Gas,2010-12,77573.32016
Gas,2010-11,69226.55984
Gas,2010-10,77738.33651
Gas,2010-09,93004.17649
Gas,2010-08,121151.26856
Gas,2010-07,114624.20192
Gas,2010-06,92268.43063
Gas,2010-05,73665.43824
Gas,2010-04,64644.025
Gas,2010-03,63430.66033
Gas,2010-02,66198.08
Gas,2010-01,74172.73601
Gas,2009-12,71589.60705
Gas,2009-11,63285.13196
Gas,2009-10,72602.72548
Gas,2009-09,92126.61784
Gas,2009-08,109239.55406
Gas,2009-07,101893.83251
Gas,2009-06,84205.18154
Gas,2009-05,68145.64662
Gas,2009-04,61158.67362
Gas,2009-03,68202.74331
Gas,2009-02,62138.85332
Gas,2009-01,66390.11321
Gas,2008-12,64363.64603
Gas,2008-11,61454.19852
Gas,2008-10,73283.33855
Gas,2008-09,79136.02998
Gas,2008-08,99673.49348
Gas,2008-07,100320.87805
Gas,2008-06,84619.97663
Gas,2008-05,62270.44712
Gas,2008-04,63046.09796
Gas,2008-03,62170.57985
Gas,2008-02,60042.0118
Gas,2008-01,72599.9011
Gas,2007-12,66807.82797
Gas,2007-11,60636.79925
Gas,2007-10,78358.02381
Gas,2007-09,88531.61471
Gas,2007-08,121338.42663
Gas,2007-07,97482.67572
Gas,2007-06,81511.45079
Gas,2007-05,66469.7005
Gas,2007-04,60152.84758
Gas,2007-03,56203.82094
Gas,2007-02,57622.07125
Gas,2007-01,61474.53193
Gas,2006-12,56128.18599
Gas,2006-11,53439.69272
Gas,2006-10,70640.03895
Gas,2006-09,72673.34798
Gas,2006-08,106591.66595
Gas,2006-07,108093.51438
Gas,2006-06,81060.20993
Gas,2006-05,65585.60534
Gas,2006-04,56090.85628
Gas,2006-03,54921.74189
Gas,2006-02,47408.9894
Gas,2006-01,43806.92078
Gas,2005-12,53992.60122
Gas,2005-11,49440.22594
Gas,2005-10,55940.88089
Gas,2005-09,73355.48269
Gas,2005-08,100786.65435
Gas,2005-07,96819.41031
Gas,2005-06,75635.49254
Gas,2005-05,54826.00402
Gas,2005-04,52016.28598
Gas,2005-03,51896.97271
Gas,2005-02,44912.61665
Gas,2005-01,51337.62707
Gas,2004-12,51309.56547
Gas,2004-11,49693.03398
Gas,2004-10,57228.81399
Gas,2004-09,67853.99334
Gas,2004-08,77820.68835
Gas,2004-07,79290.02224
Gas,2004-06,64685.66904
Gas,2004-05,62021.80807
Gas,2004-04,51821.98826
Gas,2004-03,49801.1869
Gas,2004-02,50319.87478
Gas,2004-01,48253.37213
Gas,2003-12,44034.895
Gas,2003-11,45327.919
Gas,2003-10,51824.169
Gas,2003-09,59089.943
Gas,2003-08,83249.694
Gas,2003-07,76938.278
Gas,2003-06,54452.951
Gas,2003-05,49372.963
Gas,2003-04,45195.383
Gas,2003-03,46699.026
Gas,2003-02,43546.573
Gas,2003-01,50175.746
Gas,2002-12,46100.393
Gas,2002-11,45160.876
Gas,2002-10,54200.82
Gas,2002-09,68161.131
Gas,2002-08,84476.867
Gas,2002-07,83917.269
Gas,2002-06,65631.018
Gas,2002-05,50275.237
Gas,2002-04,49146.409
Gas,2002-03,51214.464
Gas,2002-02,44308.431
Gas,2002-01,48412.832
Gas,2001-12,47540.861
Gas,2001-11,44490.622
Gas,2001-10,56376.441
Gas,2001-09,60181.14
Gas,2001-08,78409.804
Gas,2001-07,73030.142
Gas,2001-06,57603.154
Gas,2001-05,50934.205
Gas,2001-04,45842.746
Gas,2001-03,44364.414
Gas,2001-02,37966.927
Gas,2001-01,42388.663
Nuclear,2025-04,57892.519
Nuclear,2025-03,62456.661
Nuclear,2025-02,61828.502
Nuclear,2025-01,71738.938
Nuclear,2024-12,71200.098
Nuclear,2024-11,61904.051
Nuclear,2024-10,58773.349
Nuclear,2024-09,62660.468
Nuclear,2024-08,69760.288
Nuclear,2024-07,69885.242
Nuclear,2024-06,68192.147
Nuclear,2024-05,64972.965
Nuclear,2024-04,57621.498
Nuclear,2024-03,63345.769
Nuclear,2024-02,64583.812
Nuclear,2024-01,69079.735
Nuclear,2023-12,68854.346
Nuclear,2023-11,62257.644
Nuclear,2023-10,61435.632
Nuclear,2023-09,65559.71
Nuclear,2023-08,69744.023
Nuclear,2023-07,69887.588
Nuclear,2023-06,64819.195
Nuclear,2023-05,61155.193
Nuclear,2023-04,56662.458
Nuclear,2023-03,62820.443
Nuclear,2023-02,60806.857
Nuclear,2023-01,70870.08
Nuclear,2022-12,69094.147
Nuclear,2022-11,62041.287
Nuclear,2022-10,58945.383
Nuclear,2022-09,63733.186
Nuclear,2022-08,68896.917
Nuclear,2022-07,68856.919
Nuclear,2022-06,65715.42
Nuclear,2022-05,63381.62449
Nuclear,2022-04,55289.54
Nuclear,2022-03,63153.701
Nuclear,2022-02,61852.177
Nuclear,2022-01,70576.875
Nuclear,2021-12,70719.837
Nuclear,2021-11,62749.318
Nuclear,2021-10,58401.112
Nuclear,2021-09,64520.031
Nuclear,2021-08,69471.331
Nuclear,2021-07,68831.593
Nuclear,2021-06,66070.373
Nuclear,2021-05,63394.115
Nuclear,2021-04,57092.024
Nuclear,2021-03,63708.238
Nuclear,2021-02,62954.16
Nuclear,2021-01,71732.463
Nuclear,2020-12,69870.978
Nuclear,2020-11,61759.977
Nuclear,2020-10,59362.465
Nuclear,2020-09,65727.317
Nuclear,2020-08,68982.187
Nuclear,2020-07,69385.44
Nuclear,2020-06,67205.083
Nuclear,2020-05,64337.97
Nuclear,2020-04,59170.016
Nuclear,2020-03,63997.21
Nuclear,2020-02,65910.574
Nuclear,2020-01,74169.646
Nuclear,2019-12,73073.575
Nuclear,2019-11,64125.425
Nuclear,2019-10,62032.622
Nuclear,2019-09,66063.58
Nuclear,2019-08,71910.684
Nuclear,2019-07,72198.595
Nuclear,2019-06,68804.879
Nuclear,2019-05,67123.546
Nuclear,2019-04,60580.927
Nuclear,2019-03,65079.691
Nuclear,2019-02,64714.894
Nuclear,2019-01,73700.844
Nuclear,2018-12,71657.288
Nuclear,2018-11,63954.37
Nuclear,2018-10,59396.905
Nuclear,2018-09,64724.753
Nuclear,2018-08,72282.467
Nuclear,2018-07,72456.009
Nuclear,2018-06,69687.556
Nuclear,2018-05,67320.248
Nuclear,2018-04,59133.155
Nuclear,2018-03,67032.656
Nuclear,2018-02,64790.03
Nuclear,2018-01,74649.04
Nuclear,2017-12,73699.572
Nuclear,2017-11,66617.853
Nuclear,2017-10,65994.785
Nuclear,2017-09,68097.918
Nuclear,2017-08,72384.218
Nuclear,2017-07,71314.219
Nuclear,2017-06,67010.782
Nuclear,2017-05,61312.753
Nuclear,2017-04,56743.352
Nuclear,2017-03,65093.2
Nuclear,2017-02,63560.371
Nuclear,2017-01,73120.612
Nuclear,2016-12,71662.429
Nuclear,2016-11,65178.776
Nuclear,2016-10,60733.343
Nuclear,2016-09,65448.176
Nuclear,2016-08,71526.405
Nuclear,2016-07,70349.347
Nuclear,2016-06,67175.324
Nuclear,2016-05,66576.493
Nuclear,2016-04,62731.845
Nuclear,2016-03,66148.894
Nuclear,2016-02,65638.141
Nuclear,2016-01,72524.775
Nuclear,2015-12,69633.664
Nuclear,2015-11,60263.941
Nuclear,2015-10,60570.921
Nuclear,2015-09,66476.372
Nuclear,2015-08,72415.352
Nuclear,2015-07,71412.176
Nuclear,2015-06,68516.165
Nuclear,2015-05,65826.525
Nuclear,2015-04,59784.495
Nuclear,2015-03,64546.799
Nuclear,2015-02,63461.493
Nuclear,2015-01,74269.974
Nuclear,2014-12,73362.548
Nuclear,2014-11,65140.185
Nuclear,2014-10,62390.988
Nuclear,2014-09,67534.5
Nuclear,2014-08,71128.746
Nuclear,2014-07,71940.126
Nuclear,2014-06,68138.232
Nuclear,2014-05,62947.43
Nuclear,2014-04,56384.588
Nuclear,2014-03,62397.08
Nuclear,2014-02,62638.95
Nuclear,2014-01,73162.609
Nuclear,2013-12,71293.578
Nuclear,2013-11,64975.456
Nuclear,2013-10,63183.533
Nuclear,2013-09,65798.971
Nuclear,2013-08,71344.379
Nuclear,2013-07,70539.238
Nuclear,2013-06,66429.69
Nuclear,2013-05,62848.155
Nuclear,2013-04,56766.882
Nuclear,2013-03,62947.389
Nuclear,2013-02,61483.385
Nuclear,2013-01,71405.817
Nuclear,2012-12,68583.669
Nuclear,2012-11,56712.757
Nuclear,2012-10,59743.218
Nuclear,2012-09,64510.882
Nuclear,2012-08,69602.111
Nuclear,2012-07,69129.329
Nuclear,2012-06,65140.085
Nuclear,2012-05,62081.445
Nuclear,2012-04,55870.931
Nuclear,2012-03,61728.613
Nuclear,2012-02,63847.023
Nuclear,2012-01,72381.186
Nuclear,2011-12,71837.372
Nuclear,2011-11,64473.88
Nuclear,2011-10,63336.97
Nuclear,2011-09,66848.854
Nuclear,2011-08,71338.566
Nuclear,2011-07,72344.85
Nuclear,2011-06,65270.134
Nuclear,2011-05,57012.914
Nuclear,2011-04,54547.338
Nuclear,2011-03,65661.598
Nuclear,2011-02,64789.078
Nuclear,2011-01,72742.813
Nuclear,2010-12,73683.304
Nuclear,2010-11,62655.206
Nuclear,2010-10,62750.833
Nuclear,2010-09,69371.195
Nuclear,2010-08,71574.103
Nuclear,2010-07,71913.468
Nuclear,2010-06,68301.32156
Nuclear,2010-05,66658.365
Nuclear,2010-04,57611.073
Nuclear,2010-03,64634.721
Nuclear,2010-02,65245.37
Nuclear,2010-01,72569.341
Nuclear,2009-12,70710.218
Nuclear,2009-11,59069.208
Nuclear,2009-10,58020.927
Nuclear,2009-09,65751.794
Nuclear,2009-08,72244.597
Nuclear,2009-07,72948.979
Nuclear,2009-06,69734.736
Nuclear,2009-05,65395.452
Nuclear,2009-04,59408.407
Nuclear,2009-03,67240.567
Nuclear,2009-02,64227.211
Nuclear,2009-01,74102.489
Nuclear,2008-12,72931.328
Nuclear,2008-11,63408.145
Nuclear,2008-10,62820.353
Nuclear,2008-09,67053.867
Nuclear,2008-08,72617.066
Nuclear,2008-07,74318.27
Nuclear,2008-06,70319.366
Nuclear,2008-05,64825.901
Nuclear,2008-04,57332.716
Nuclear,2008-03,64716.468
Nuclear,2008-02,65130.385
Nuclear,2008-01,70734.57
Nuclear,2007-12,71982.726
Nuclear,2007-11,64899.278
Nuclear,2007-10,61689.542
Nuclear,2007-09,67578.578
Nuclear,2007-08,72750.91
Nuclear,2007-07,72738.535
Nuclear,2007-06,68923.074
Nuclear,2007-05,65024.555
Nuclear,2007-04,57301.424
Nuclear,2007-03,64305.153
Nuclear,2007-02,65224.794
Nuclear,2007-01,74006.184
Nuclear,2006-12,70489.681
Nuclear,2006-11,61392.321
Nuclear,2006-10,57509.306
Nuclear,2006-09,66642.327
Nuclear,2006-08,72016.095
Nuclear,2006-07,72186.494
Nuclear,2006-06,68391.472
Nuclear,2006-05,62775.701
Nuclear,2006-04,57567.204
Nuclear,2006-03,63720.849
Nuclear,2006-02,62615.654
Nuclear,2006-01,71911.532
Nuclear,2005-12,71735.067
Nuclear,2005-11,62912.709
Nuclear,2005-10,61235.597
Nuclear,2005-09,66738.979
Nuclear,2005-08,71381.55
Nuclear,2005-07,71070.011
Nuclear,2005-06,66144.275
Nuclear,2005-05,62970.464
Nuclear,2005-04,55484.01
Nuclear,2005-03,61538.53
Nuclear,2005-02,60946.934
Nuclear,2005-01,69828.239
Nuclear,2004-12,68616.627
Nuclear,2004-11,58940.863
Nuclear,2004-10,62530.352
Nuclear,2004-09,65932.057
Nuclear,2004-08,71068.483
Nuclear,2004-07,71975.04
Nuclear,2004-06,67734.073
Nuclear,2004-05,64917.412
Nuclear,2004-04,58620.255
Nuclear,2004-03,63285.116
Nuclear,2004-02,64101.949
Nuclear,2004-01,70806.16
Nuclear,2003-12,68611.699
Nuclear,2003-11,59600.02
Nuclear,2003-10,60016.207
Nuclear,2003-09,63583.645
Nuclear,2003-08,69023.878
Nuclear,2003-07,69652.754
Nuclear,2003-06,64180.727
Nuclear,2003-05,62201.96
Nuclear,2003-04,56775.591
Nuclear,2003-03,59933.261
Nuclear,2003-02,60941.869
Nuclear,2003-01,69211.084
Nuclear,2002-12,68905.472
Nuclear,2002-11,61520.324
Nuclear,2002-10,60493.052
Nuclear,2002-09,64480.79
Nuclear,2002-08,70777.688
Nuclear,2002-07,70420.827
Nuclear,2002-06,66371.896
Nuclear,2002-05,63032.192
Nuclear,2002-04,58437.062
Nuclear,2002-03,63040.647
Nuclear,2002-02,61658.274
Nuclear,2002-01,70925.863
Nuclear,2001-12,67430.878
